Track Name,Artists,Album Cover URL
Obscene,Pluralone,https://i.scdn.co/image/ab67616d0000b27391e29058781a7a0f866c42b0
Remembering Sunday,All Time Low,https://i.scdn.co/image/ab67616d0000b273c8913cd7b91bb7f6bbbec305
Duality,Slipknot,https://i.scdn.co/image/ab67616d0000b2736b3463e7160d333ada4b175a
Don't Mess With Ouija Boards,Falling In Reverse,https://i.scdn.co/image/ab67616d0000b2732a4546ed22694f4297f6bdb9
Kiss Me,Sixpence None The Richer,https://i.scdn.co/image/ab67616d0000b273cfc5eea6cfd77e89ed3ac5a4
The Afterglow,"John Frusciante, Josh Klinghoffer",https://i.scdn.co/image/ab67616d0000b273fad5d9e78941effaf4232716
Dive In,Pierce The Veil,https://i.scdn.co/image/ab67616d0000b273feef5b9537d7b52555a42f17
Roses for the Dead,Funeral For A Friend,https://i.scdn.co/image/ab67616d0000b2735c92ed1239d3f3520226b2a3
The Red,Chevelle,https://i.scdn.co/image/ab67616d0000b273bd444869348f556430c21890
Reverse This Curse,Escape the Fate,https://i.scdn.co/image/ab67616d0000b2732541614ba5551322c8a1a478
Emily,From First To Last,https://i.scdn.co/image/ab67616d0000b273e4144506ed8ed561e3d518d4
Just The Way You Are,Pierce The Veil,https://i.scdn.co/image/ab67616d0000b2734978eed9f147170024b9a65b
Scourge of Iron,Cannibal Corpse,https://i.scdn.co/image/ab67616d0000b2732d3c8436b5316b6074f407f9
"If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,https://i.scdn.co/image/ab67616d0000b273032fd22bde573d0746c87352
Vogue,Madonna,https://i.scdn.co/image/ab67616d0000b2736b44fa8f5415cc4c945117be
How Come,Ray LaMontagne,https://i.scdn.co/image/ab67616d0000b273d6a05bd7c15919e93d242470
Suddenly I See,KT Tunstall,https://i.scdn.co/image/ab67616d0000b273183730e8038fa632b2c227da
Addicted,Simple Plan,https://i.scdn.co/image/ab67616d0000b273fbee462a3aa4e7ea05e07aa5
Duvet,bôa,https://i.scdn.co/image/ab67616d0000b273948506eef3b3350b2385ef51
The Drug In Me Is You,Falling In Reverse,https://i.scdn.co/image/ab67616d0000b2732a4546ed22694f4297f6bdb9
This War Is Ours (The Guillotine II),Escape the Fate,https://i.scdn.co/image/ab67616d0000b273b69af5d9f8fb68e9c820d662
Ashley,Escape the Fate,https://i.scdn.co/image/ab67616d0000b273b69af5d9f8fb68e9c820d662
Situations,Escape the Fate,https://i.scdn.co/image/ab67616d0000b2732541614ba5551322c8a1a478
King For A Day,"Pierce The Veil, Kellin Quinn",https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570
"They Perched on Their Stilts, Pointing and Daring Me to Break Custom",Saosin,https://i.scdn.co/image/ab67616d0000b27380ba86a4d3442ac4213281a0
Can't Be Saved,Senses Fail,https://i.scdn.co/image/ab67616d0000b273c9d1ffaf3fac0ce36f3c6f9f
If You Can't Hang,Sleeping With Sirens,https://i.scdn.co/image/ab67616d0000b273800934f8144df91dae16b6e4
The Quiet Things That No One Ever Knows,Brand New,https://i.scdn.co/image/ab67616d0000b2731d421119351d6801a2c99741
Understanding In A Car Crash,Thursday,https://i.scdn.co/image/ab67616d0000b2736a592e74ff9456c0a2e39e47
Covet,Basement,https://i.scdn.co/image/ab67616d0000b273fb5759dc6a1d9eb96dadde10
Radio,Alkaline Trio,https://i.scdn.co/image/ab67616d0000b273e0b6191a8484dcf1326d634f
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,https://i.scdn.co/image/ab67616d0000b273da071ae7564949fbbfc6904d
Therapy,All Time Low,https://i.scdn.co/image/ab67616d0000b27324889965c2b453cbd439a7f6
Sic Transit Gloria ... Glory Fades,Brand New,https://i.scdn.co/image/ab67616d0000b2731d421119351d6801a2c99741
The After Dinner Payback,From Autumn To Ashes,https://i.scdn.co/image/ab67616d0000b27339e7044c77f578d78b716ff5
No Trivia,From Autumn To Ashes,https://i.scdn.co/image/ab67616d0000b27339e7044c77f578d78b716ff5
